,trueAlpha,trueTau,recovAlpha,recovTau,cost,r
97,0.08184660855775228,0.7409404813167837,0.5363777776270807,0.8977620390759097,1022.0,0.33354965844491186
98,0.6408306791679437,0.36523539616988526,0.20841099970422575,0.8303435745736311,1222.0,0.539539492065405
99,0.5595885207100392,0.4635456548648344,0.11173927290262727,0.1606134290572591,867.0,0.4850380554847682
100,0.2633821886737383,0.07022987955982017,0.6646442857325914,0.05670169995998212,356.0,0.6626413644527982
101,0.5323124394409952,0.4729698874661138,0.45655882678711485,0.6042843850319604,980.0,0.3614244653276337
102,0.6789859018302699,0.4843883109757585,0.7434476855764524,0.1958079238068017,904.0,0.6140058725190222
103,0.5529916121538782,0.1344759426070694,0.3882926700619868,0.14716959647276168,375.0,0.7400003859859224
104,0.7839404598133969,0.23087396251699838,0.5346245803904032,0.21953844728126068,911.0,0.4950796255758977
105,0.6069731419360825,0.5981171188465331,0.16312394433629024,0.96575646578563,1137.0,0.5786813498990694
106,0.11311648442918243,0.917818612767749,0.12354647071260144,0.500449240184064,1303.0,0.5494313749711927
107,0.8450136977984214,0.39892475621341067,0.9317665139749512,0.13333683032135832,716.0,0.7389248419974482
108,0.4395389364352774,0.7253557467647109,0.5350016227314639,0.435691275720516,1096.0,0.5220638513069373
109,0.1530856475622382,0.7711419901789086,0.6465634905803014,0.40569114317694005,1068.0,0.5760218817398105
110,0.71768077391822,0.31507118621236613,0.27006055185170275,0.93979573076835,729.0,0.5444166586014177
111,0.03488129488371694,0.7991017101862162,0.4248498971526435,0.9168446686761214,1001.0,0.6443547797548201
112,0.521441197134993,0.8812812488848891,0.3135678713664156,0.6600159635565659,783.0,0.6844787747903814
113,0.42926231373279866,0.46841479345559234,0.36784266167423113,0.5963464982047418,948.0,0.5239122033209693
114,0.6002288230591039,0.2813522764709471,0.24149541727110158,0.23202957505258834,1017.0,0.39304082742255564
115,0.8516055328672717,0.14928645320749498,0.7953321303787251,0.06927807217632001,975.0,0.6117417273167123
116,0.7117903895138354,0.6572801547544033,0.03766428636854869,0.06522482962127274,1031.0,0.5828910552405742
117,0.7156773438424755,0.22910930743301164,0.9050535975941538,0.18232725266020194,883.0,0.6413598379444747
118,0.0367946484275975,0.39123842312424545,0.36434290495914845,0.6499714829917017,986.0,0.2487126759216749
119,0.9398960178738368,0.47084042607694526,0.1343173272589504,0.19673533981954006,885.0,0.7245353446637524
120,0.40383662748786187,0.6200690021611244,0.9702855937859065,0.8878387198015487,594.0,0.5338624904838728
121,0.9879202288923383,0.48064527961435843,0.18535261488396482,0.4349360219583472,1148.0,0.5073495050756228
122,0.801347969676445,0.07508764283194193,0.6738429687690088,0.6607367016432105,488.0,0.6857972152660349
123,0.7948519039295396,0.7363140139721384,0.4084982118478182,0.1664594085321721,843.0,0.7017050615942051
124,0.020680725574208192,0.963721564625746,0.11185517716102855,0.4940859994807715,1201.0,0.5062628717008613
125,0.9710773609428538,0.10387570871019039,0.19002045291123795,0.10997412213435327,481.0,0.7820776940720562
126,0.6185779554773134,0.12593516942322477,0.9524647087701078,0.12599299438552508,481.0,0.6062498675741812
127,0.20351483156425254,0.7645271297608137,0.08984787242693754,0.13176995017795587,710.0,0.5321084508125788
128,0.4179222546524073,0.006482627249991071,0.6828657234735853,0.023303347642488335,81.0,0.9395781613158599
129,0.2094968876650628,0.8943765591837991,0.05250763801460033,0.7827331415357489,835.0,0.6263267276191298
130,0.2937792670516729,0.3037616409040426,0.21884529285678056,0.8108218385762219,975.0,0.4421198212842105
131,0.971459248605211,0.47063516324936927,0.9815239820114804,0.23301215782474163,661.0,0.5436178218846364
132,0.14531248299388533,0.2756838284699373,0.6401530110600779,0.10382809269246819,882.0,0.4651116966475956
133,0.3863323658359977,0.6849562675208244,0.6263781652321719,0.2296651630133805,875.0,0.7004292572932338
134,0.7534864883323988,0.49636264096036303,0.9439538726571004,0.8410265979385527,1055.0,0.5278590574108478
135,0.8798482402640476,0.36246312756165305,0.17542205329017976,0.14483259637442664,745.0,0.5531386265300581
136,0.47847989683622383,0.5258244075758098,0.3781827885628225,0.03511989663315109,825.0,0.7766572091151921
137,0.9884926249224122,0.0037826474091842326,0.8029629690969817,0.048238344403744284,61.0,0.7295850471972345
138,0.006944217177335954,0.825136823525873,0.9611830628518571,0.5006501883337448,1034.0,0.633379931523189
139,0.7739699489729551,0.05616739872271636,0.5882295775598014,0.06313326580577677,289.0,0.8809606992275268
140,0.998877826736368,0.45224523754296797,0.969856354427413,0.5731015050177863,1237.0,0.6875073212604446
141,0.3031251513981975,0.1601295337605804,0.5241825985948707,0.07001091734263039,169.0,0.9497910266666605
142,0.4980912840262216,0.2584149114619951,0.7921521365255928,0.027258240993211634,634.0,0.8112112410091186
143,0.5935668481329177,0.7731853587272578,0.48932844375193996,0.3457194792975996,833.0,0.6167572513822686
144,0.6429191506962829,0.09554693870486863,0.7462642724534906,0.06827585831413267,297.0,0.272670176790852
145,0.4483081170236376,0.4875455555160942,0.6865611609201115,0.8033686836775691,1129.0,0.6557094596472021
146,0.19336304199651178,0.6376756688955189,0.7720959370897111,0.7377290372307609,951.0,0.42453983525470274
147,0.09759574954704586,0.7671909365672753,0.8382215946243704,0.4047784984288235,943.0,0.5639563295636649
148,0.5854211248306687,0.2860360276504933,0.7865331380217424,0.06025807370382977,760.0,0.3630477222463829
149,0.11040049115462947,0.17726090554243068,0.6866807651554421,0.7377081906587355,725.0,0.5549699885252737
150,0.6633387186820906,0.9526815788965542,0.008075874975719046,0.11899492032719951,1098.0,0.6465086794002393
151,0.8779806212636999,0.9877318244508543,0.27166002413799556,0.6474217756678663,873.0,0.6214873086096734
152,0.8033171015946876,0.7411233575100319,0.07599975104620511,0.11481476916037549,1240.0,0.5308265012238085
153,0.6302849868110746,0.5355491056425472,0.3541067790177344,0.5236307334101651,984.0,0.39813606327965806
154,0.19901801246496853,0.9560482612192981,0.2481685689733321,0.43867695289600817,1079.0,0.6346040454227004
155,0.9690681783934818,0.48314472813146464,0.9105861539128888,0.44976118485154015,679.0,0.5962478966359059
156,0.12442545352011702,0.4442640447897011,0.5380921838798091,0.34112122293033276,1158.0,0.6652768808851677
157,0.14578440756213606,0.907014954166141,0.978037787052074,0.9679340521334985,1258.0,0.5310965645672775
158,0.5958046871340331,0.46091678047954815,0.37681861306032216,0.03933501584921736,615.0,0.7792186109265087
159,0.7967952978632575,0.06429720165077471,0.8030711561296466,0.03745933834779973,209.0,0.891005819839335
